"Source:","/home/greg/projects/FreshTwinkie/hardware/FreshTwinkie_v0.1/FreshTwinkie.sch"
"Date:","Mon 05 Aug 2019 21:20:34 ACST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg","PN"
"","","C1","1uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A105MQ5NNNC"
"","","C2","100nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03A104KQ3NNNC"
"","","C3","100nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03A104KQ3NNNC"
"","","C4","4.7uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A475MQ5NRNC"
"","","C5","10nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03B103KP3NNNC"
"","","C6","1uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A105MQ5NNNC"
"","","C7","4.7uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A475MQ5NRNC"
"","","C8","100nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03A104KQ3NNNC"
"","","D1","5.6V","Device:D_Zener_ALT","Diode_SMD:D_0402_1005Metric","~","",""
"","","D2","LED_ARGB","Device:LED_ARGB","gkl_led:0404LED_RGB","~","",""
"","","FB1","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","Murata Electronics North America","BLM15AG601SN1D"
"","","FB2","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","Murata Electronics North America","BLM15AG601SN1D"
"","","J1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_GCT_USB3076-30-A","~","GCT","USB3076-30-A"
"","","J2","USB_C_Receptacle","Connector:USB_C_Receptacle","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Amphenol ICC (Commercial Products)","12401610E4#2A"
"","","NT1","Net-Tie_2","Device:Net-Tie_2","NetTie:NetTie-2_SMD_Pad0.5mm","~","",""
"","","P1","USB_C_Plug","Connector:USB_C_Plug","Connector_USB:USB_C_Plug_Molex_105444","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Wurth Electronics Inc.","632712000021"
"","","Q1","PMDXB600UNE","gkl_mosfet:PMDXB600UNE","gkl_housings_qfn:DFN1010B-6 (SOT1216)","https://assets.nexperia.com/documents/data-sheet/PMDXB600UNE.pdf","Nexperia USA Inc.","PMDXB600UNEZ"
"","","Q2","PMDXB600UNE","gkl_mosfet:PMDXB600UNE","gkl_housings_qfn:DFN1010B-6 (SOT1216)","https://assets.nexperia.com/documents/data-sheet/PMDXB600UNE.pdf","Nexperia USA Inc.","PMDXB600UNEZ"
"","","Q3","PMDXB600UNE","gkl_mosfet:PMDXB600UNE","gkl_housings_qfn:DFN1010B-6 (SOT1216)","https://assets.nexperia.com/documents/data-sheet/PMDXB600UNE.pdf","Nexperia USA Inc.","PMDXB600UNEZ"
"","","Q4","Q_NMOS_DGS","Device:Q_NMOS_DGS","gkl_housings_qfn:MOSFET_1.0x0.6mm","~","Texas Instruments","CSD13381F4"
"","","R1","0.015","gkl_misc:4W_R","gkl_dipol:4W_R_1206","","Vishay Dale","WSK1206R0150FEA18"
"","","R2","0.015","gkl_misc:4W_R","gkl_dipol:4W_R_1206","","Vishay Dale","WSK1206R0150FEA18"
"","","R3","381K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07383KL"
"","","R4","381K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07383KL"
"","","R5","4.75K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-074K75L"
"","","R6","4.75K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-074K75L"
"","","R7","1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-071KL"
"","","R8","1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-071KL"
"","","R9","12.1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0712K1L"
"","","R10","12.1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0712K1L"
"","","R11","5.11K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-075K11L"
"","","R12","5.11K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-075K11L"
"","","R13","35.7K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0735K7L"
"","","R14","35.7K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0735K7L"
"","","R15","200R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07200RL"
"","","R16","100R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07100RL"
"","","R17","200R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07200RL"
"","","R18","100R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07100RL"
"","","R19","51.1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0751k1L"
"","","R20","51.1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0751k1L"
"","","R21","576R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07576RL"
"","","R22","2.12K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-072k1L"
"","","R23","604R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07604RL"
"","","R24","2.12K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-072k1L"
"","","R25","806R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07806RL"
"","","U1","INA231","gkl_sensor:INA231","gkl_housings_bga:DSBGA-12_1.56x1.39mm_Layout3x4_P0.4mm","","Texas Instruments","INA231AIYFFR"
"","","U2","INA231","gkl_sensor:INA231","gkl_housings_bga:DSBGA-12_1.56x1.39mm_Layout3x4_P0.4mm","","Texas Instruments","INA231AIYFFR"
"","","U3","NCP167","gkl_pmic:NCP167","gkl_housings_son:X2SON_4_1.0x1.0mm","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","ON Semiconductor","NCP167BMX330TBG"
"","","U4","AD8606ACB","gkl_misc:AD8606ACB","gkl_housings_bga:WLCSP-8 3X3_0.5","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8605_8606_8608.pdf","Analog Devices Inc.","AD8606ACBZ-REEL7"
"","","U5","STM32F072CBUx","MCU_ST_STM32F0:STM32F072CBUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00090510.pdf","STMicroelectronics","STM32F072CBU6"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfg","PN"
"1","2","C1, C6","1uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A105MQ5NNNC"
"2","3","C2, C3, C8","100nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03A104KQ3NNNC"
"3","2","C4, C7","4.7uF","Device:C","pkl_dipol:C_0402","~","Samsung Electro-Mechanics","CL05A475MQ5NRNC"
"4","1","C5","10nF","Device:C","pkl_dipol:C_0201","~","Samsung Electro-Mechanics","CL03B103KP3NNNC"
"5","1","D1","5.6V","Device:D_Zener_ALT","Diode_SMD:D_0402_1005Metric","~","",""
"6","1","D2","LED_ARGB","Device:LED_ARGB","gkl_led:0404LED_RGB","~","",""
"7","2","FB1, FB2","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","Murata Electronics North America","BLM15AG601SN1D"
"8","1","J1","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_GCT_USB3076-30-A","~","GCT","USB3076-30-A"
"9","1","J2","USB_C_Receptacle","Connector:USB_C_Receptacle","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Amphenol ICC (Commercial Products)","12401610E4#2A"
"10","1","NT1","Net-Tie_2","Device:Net-Tie_2","NetTie:NetTie-2_SMD_Pad0.5mm","~","",""
"11","1","P1","USB_C_Plug","Connector:USB_C_Plug","Connector_USB:USB_C_Plug_Molex_105444","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Wurth Electronics Inc.","632712000021"
"12","3","Q1, Q2, Q3","PMDXB600UNE","gkl_mosfet:PMDXB600UNE","gkl_housings_qfn:DFN1010B-6 (SOT1216)","https://assets.nexperia.com/documents/data-sheet/PMDXB600UNE.pdf","Nexperia USA Inc.","PMDXB600UNEZ"
"13","1","Q4","Q_NMOS_DGS","Device:Q_NMOS_DGS","gkl_housings_qfn:MOSFET_1.0x0.6mm","~","Texas Instruments","CSD13381F4"
"14","2","R1, R2","0.015","gkl_misc:4W_R","gkl_dipol:4W_R_1206","","Vishay Dale","WSK1206R0150FEA18"
"15","2","R3, R4","381K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07383KL"
"16","2","R5, R6","4.75K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-074K75L"
"17","2","R7, R8","1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-071KL"
"18","2","R9, R10","12.1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0712K1L"
"19","2","R11, R12","5.11K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-075K11L"
"20","2","R13, R14","35.7K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0735K7L"
"21","2","R15, R17","200R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07200RL"
"22","2","R16, R18","100R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07100RL"
"23","2","R19, R20","51.1K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-0751k1L"
"24","1","R21","576R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07576RL"
"25","2","R22, R24","2.12K","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-072k1L"
"26","1","R23","604R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07604RL"
"27","1","R25","806R","Device:R","gkl_dipol:R_0201","~","Yageo","RC0201FR-07806RL"
"28","2","U1, U2","INA231","gkl_sensor:INA231","gkl_housings_bga:DSBGA-12_1.56x1.39mm_Layout3x4_P0.4mm","","Texas Instruments","INA231AIYFFR"
"29","1","U3","NCP167","gkl_pmic:NCP167","gkl_housings_son:X2SON_4_1.0x1.0mm","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","ON Semiconductor","NCP167BMX330TBG"
"30","1","U4","AD8606ACB","gkl_misc:AD8606ACB","gkl_housings_bga:WLCSP-8 3X3_0.5","https://www.analog.com/media/en/technical-documentation/data-sheets/AD8605_8606_8608.pdf","Analog Devices Inc.","AD8606ACBZ-REEL7"
"31","1","U5","STM32F072CBUx","MCU_ST_STM32F0:STM32F072CBUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00090510.pdf","STMicroelectronics","STM32F072CBU6"
